Incident_ID,Timestamp,Service,Region,Error_Type,HTTP_Status,Latency_ms,Severity,Request_ID,Mitigation_Status
INC-20260817-052,2026-08-17 14:02:46 UTC,SCIM Provisioning,us-east-1,HTTP 500 Internal Error,401,3283,Medium,req_26b108cb,Investigating
INC-20260817-092,2026-08-17 14:03:16 UTC,Archive Download,us-east-1,Connection Reset,504,2340,Critical,req_6bed5d0,Monitoring
INC-20260817-073,2026-08-17 14:03:35 UTC,SCIM Provisioning,eu-west-1,HTTP 500 Internal Error,401,2138,High,req_1b8f7ce7,Resolved
INC-20260817-063,2026-08-17 14:03:35 UTC,Raw Content Delivery,eu-central-1,HTTP 504 Gateway Timeout,502,5306,High,req_30af78f0,Monitoring
INC-20260817-034,2026-08-17 14:03:35 UTC,Team Sync,eu-central-1,Auth Token Validation Failure,500,2280,High,req_b166cd4,Mitigating
INC-20260817-035,2026-08-17 14:04:50 UTC,REST API,eu-central-1,Connection Reset,504,691,High,req_2a6b70de,Mitigating
INC-20260817-080,2026-08-17 14:04:52 UTC,SAML/OIDC Auth,eu-central-1,Auth Token Validation Failure,401,1232,Medium,req_21b4b9ec,Monitoring
INC-20260817-008,2026-08-17 14:05:36 UTC,REST API,us-west-2,RPC Metadata Timeout,504,2803,Medium,req_3b57f1b7,Monitoring
INC-20260817-087,2026-08-17 14:06:31 UTC,Raw Content Delivery,eu-west-1,HTTP 502 Bad Gateway,504,6939,Critical,req_2b2e15ee,Monitoring
INC-20260817-031,2026-08-17 14:06:32 UTC,Git SSH/HTTPS,us-west-2,RPC Metadata Timeout,504,1075,Low,req_1fa085e1,Investigating
INC-20260817-079,2026-08-17 14:07:07 UTC,REST API,eu-west-1,Auth Token Validation Failure,503,2382,Critical,req_21606c9a,Monitoring
INC-20260817-067,2026-08-17 14:10:27 UTC,SCIM Provisioning,us-west-2,Auth Token Validation Failure,500,2499,High,req_200bfcae,Monitoring
INC-20260817-095,2026-08-17 14:10:31 UTC,Archive Download,us-west-2,HTTP 504 Gateway Timeout,502,6071,Critical,req_36e28534,Resolved
INC-20260817-033,2026-08-17 14:10:44 UTC,Archive Download,us-west-2,HTTP 504 Gateway Timeout,502,7627,Critical,req_1a07faee,Investigating
INC-20260817-040,2026-08-17 14:10:56 UTC,Archive Download,ap-northeast-1,Connection Reset,504,6934,Critical,req_c970a46,Mitigating
INC-20260817-044,2026-08-17 14:11:11 UTC,SCIM Provisioning,ap-northeast-1,Auth Token Validation Failure,500,1410,High,req_28e0d48e,Investigating
INC-20260817-009,2026-08-17 14:11:16 UTC,SAML/OIDC Auth,eu-west-1,Auth Token Validation Failure,403,3454,Medium,req_a87bcd5,Mitigating
INC-20260817-032,2026-08-17 14:11:24 UTC,Web UI,ap-northeast-1,RPC Metadata Timeout,504,1368,Medium,req_21086efa,Resolved
INC-20260817-027,2026-08-17 14:13:09 UTC,REST API,us-east-1,Connection Reset,503,1934,Low,req_204560ef,Resolved
INC-20260817-090,2026-08-17 14:13:14 UTC,Team Sync,us-west-2,HTTP 504 Gateway Timeout,500,3610,Medium,req_12624d26,Monitoring
INC-20260817-012,2026-08-17 14:14:34 UTC,SAML/OIDC Auth,eu-central-1,Auth Token Validation Failure,401,3433,Medium,req_2353b52a,Mitigating
INC-20260817-022,2026-08-17 14:14:37 UTC,Raw Content Delivery,eu-central-1,Connection Reset,504,7002,High,req_2f8d7b23,Monitoring
INC-20260817-026,2026-08-17 14:14:47 UTC,Git SSH/HTTPS,eu-central-1,Connection Reset,502,3413,Low,req_243b1148,Resolved
INC-20260817-005,2026-08-17 14:14:51 UTC,REST API,eu-west-1,HTTP 500 Internal Error,500,1670,Low,req_1bf93fdc,Monitoring
INC-20260817-014,2026-08-17 14:15:08 UTC,Team Sync,us-west-2,HTTP 500 Internal Error,500,826,Critical,req_2e1df471,Mitigating
INC-20260817-004,2026-08-17 14:15:12 UTC,Archive Download,ap-northeast-1,HTTP 504 Gateway Timeout,504,4287,Critical,req_17be85e2,Mitigating
INC-20260817-049,2026-08-17 14:15:21 UTC,Team Sync,us-west-2,HTTP 504 Gateway Timeout,502,1113,Medium,req_77998d6,Mitigating
INC-20260817-060,2026-08-17 14:15:30 UTC,Git SSH/HTTPS,us-west-2,HTTP 500 Internal Error,502,2146,Critical,req_2d14fddd,Investigating
INC-20260817-091,2026-08-17 14:15:41 UTC,Git SSH/HTTPS,eu-west-1,HTTP 504 Gateway Timeout,403,2387,Critical,req_e0fd06b,Monitoring
INC-20260817-025,2026-08-17 14:15:47 UTC,Web UI,us-east-1,HTTP 504 Gateway Timeout,401,1174,Critical,req_17c8734e,Resolved
INC-20260817-003,2026-08-17 14:16:02 UTC,Web UI,eu-central-1,Auth Token Validation Failure,403,2861,High,req_32d86323,Resolved
INC-20260817-020,2026-08-17 14:16:30 UTC,Raw Content Delivery,us-east-1,Connection Reset,502,7495,Critical,req_251058b8,Investigating
INC-20260817-029,2026-08-17 14:17:08 UTC,Raw Content Delivery,us-west-2,Connection Reset,502,4956,High,req_11b4259d,Monitoring
INC-20260817-089,2026-08-17 14:17:19 UTC,REST API,us-west-2,Connection Reset,503,689,High,req_35813e02,Mitigating
INC-20260817-037,2026-08-17 14:17:58 UTC,SAML/OIDC Auth,us-west-2,Auth Token Validation Failure,401,1336,Medium,req_30f2d9ff,Monitoring
INC-20260817-041,2026-08-17 14:18:13 UTC,REST API,us-east-1,Connection Reset,503,1354,High,req_2cab692a,Mitigating
INC-20260817-013,2026-08-17 14:18:14 UTC,Raw Content Delivery,us-west-2,Connection Reset,504,6280,High,req_1f85a825,Monitoring
INC-20260817-074,2026-08-17 14:19:09 UTC,Archive Download,ap-northeast-1,HTTP 504 Gateway Timeout,502,7636,High,req_287bb87f,Investigating
INC-20260817-097,2026-08-17 14:21:00 UTC,Web UI,eu-central-1,Auth Token Validation Failure,502,2762,Critical,req_137750d5,Monitoring
INC-20260817-078,2026-08-17 14:21:27 UTC,SCIM Provisioning,eu-central-1,HTTP 500 Internal Error,500,3225,High,req_3228e7ce,Mitigating
INC-20260817-084,2026-08-17 14:23:07 UTC,Team Sync,us-east-1,HTTP 504 Gateway Timeout,504,1068,High,req_1cab54c1,Monitoring
INC-20260817-085,2026-08-17 14:23:24 UTC,Archive Download,eu-west-1,Connection Reset,502,2201,Critical,req_156841a4,Resolved
INC-20260817-075,2026-08-17 14:24:03 UTC,REST API,us-west-2,Connection Reset,500,1212,Critical,req_12b8344d,Investigating
INC-20260817-046,2026-08-17 14:24:35 UTC,Raw Content Delivery,us-west-2,Connection Reset,504,7890,Critical,req_29cb02ad,Resolved
